rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
47,005440,현대그린푸드,2020-05-20,8910.0,10400.0,16.73,112.0
,,SELL,,,,,
93,038880,아이에이,2020-05-20,456.0,294.0,-35.43,2193.0
,,PREDICT,,,,,
1,004140,동방(Bought),2020-05-20,2290.0,1899.0,-17.07,437.0
2,003060,에이프로젠제약(Bought),2020-05-20,2095.0,2039.0,-2.66,477.0
3,025820,이구산업(Bought),2020-05-20,1430.0,1388.0,-2.87,699.0
4,031860,엔에스엔(Bought New),2020-05-20,2330.0,2464.0,5.76,429.0
5,013810,스페코,2020-05-20,3580.0,3577.0,-0.06,279.0
6,026890,디피씨,2020-05-20,10900.0,10532.0,-3.37,92.0
7,001200,유진증권,2020-05-20,3050.0,3069.0,0.65,328.0
8,032680,소프트센,2020-05-20,2570.0,2481.0,-3.43,389.0
9,002140,고려산업,2020-05-20,3490.0,3466.0,-0.68,287.0
10,003090,대웅,2020-05-20,17700.0,17627.0,-0.41,56.0
11,002020,코오롱,2020-05-20,18500.0,18357.0,-0.77,54.0
12,035620,바른손이앤에이,2020-05-20,2295.0,2255.0,-1.73,436.0
13,033230,인성정보,2020-05-20,5200.0,4848.0,-6.76,192.0
14,002620,제일파마홀딩스,2020-05-20,19400.0,13846.0,-28.63,52.0
15,036580,팜스코,2020-05-20,6630.0,5768.0,-12.99,151.0
16,016250,이테크건설,2020-05-20,97500.0,90151.0,-7.54,10.0
17,000910,유니온,2020-05-20,6310.0,4770.0,-24.41,158.0
18,007460,에이프로젠 KIC,2020-05-20,3210.0,3106.0,-3.21,312.0
19,012600,청호컴넷,2020-05-20,3045.0,2813.0,-7.61,328.0
20,020120,키다리스튜디오,2020-05-20,6680.0,6714.0,0.52,150.0
21,001120,LG상사,2020-05-20,13950.0,13808.0,-1.01,72.0
22,006920,모헨즈,2020-05-20,4340.0,4335.0,-0.11,230.0
23,001520,동양,2020-05-20,1595.0,1322.0,-17.07,627.0
24,010100,한국프랜지공업,2020-05-20,2335.0,2574.0,10.25,428.0
25,011390,부산산업,2020-05-20,142500.0,141853.0,-0.45,7.0
26,004920,씨아이테크,2020-05-20,1140.0,1014.0,-10.98,877.0
27,004200,고려개발,2020-05-20,8840.0,8903.0,0.72,113.0
28,008250,이건산업,2020-05-20,6150.0,6003.0,-2.38,163.0
29,023960,에쓰씨엔지니어링,2020-05-20,1380.0,1351.0,-2.1,725.0
30,017510,세명전기,2020-05-20,4410.0,4346.0,-1.43,227.0
31,002230,피에스텍,2020-05-20,3935.0,3889.0,-1.15,254.0
32,035810,이지바이오,2020-05-20,4260.0,4211.0,-1.15,235.0
33,036710,심텍홀딩스,2020-05-20,1670.0,1483.0,-11.18,599.0
34,035080,인터파크홀딩스,2020-05-20,1930.0,1845.0,-4.38,518.0
35,011320,유니크,2020-05-20,6950.0,6901.0,-0.7,144.0
36,006650,대한유화,2020-05-20,134000.0,131941.0,-1.54,7.0
37,027830,대성창투,2020-05-20,1960.0,1983.0,1.21,510.0
38,001840,이화공영,2020-05-20,5330.0,5067.0,-4.93,188.0
39,005740,크라운해태홀딩스,2020-05-20,9360.0,8244.0,-11.91,107.0
40,006120,SK디스커버리,2020-05-20,28750.0,29100.0,1.22,35.0
