buy_min_ratio,sell_min_ratio,take_profit_ratio,stop_loss_ratio,mean_value
12,44,196,8,13858825.272
13,44,196,8,13800049.3232
13,44,196,7,13782048.3872
13,58,196,8,13779640.3888
12,44,228,8,13779638.1968
12,51,196,8,13754147.144
12,37,196,8,13749364.5648
13,30,196,8,13727482.9488
12,44,164,8,13704535.5632
13,44,196,13,13677451.8608
15,44,196,8,13677202.0512
14,44,196,8,13666945.1744
15,37,196,8,13661797.2016
15,44,261,8,13660378.3216
15,58,196,8,13659573.6
15,51,196,8,13658835.0096
15,30,196,8,13613104.784000002
15,44,196,14,13601273.6112
13,44,196,3,13594932.7808
15,44,196,20,13546570.392
15,44,131,8,13546105.904000001
10,44,196,8,13532464.8496
17,44,196,8,13407203.0944
18,44,196,8,13299065.1568
8,44,196,8,13169660.2752
15,44,196,2,13111656.6448
10,44,196,20,13035518.1216
20,44,196,20,12983262.44
